LLM,Strategy,BaselineStrategy,PairedN,MeanBaseline,MeanStrategy,MedianBaseline,MedianStrategy,WilcoxonP_TwoSided
claude-sonnet-4,few_shot,only_prompt,12,0.0426572640714,0.0288915437311,0.0477272727273,0,0.3701171875
claude-sonnet-4,few_shots_AND_grammar,only_prompt,12,0.0426572640714,0.0159214092141,0.0477272727273,0,0.03173828125
claude-sonnet-4,few_shots_AND_grammar_AND_helper,only_prompt,12,0.0426572640714,0.0160256410256,0.0477272727273,0,0.03173828125
claude-sonnet-4,grammar,only_prompt,12,0.0426572640714,0.0360309741746,0.0477272727273,0,0.29248046875
gemini-2-5-pro,few_shot,only_prompt,12,0.0561523915684,0.0335436210586,0.0513157894737,0.0378681626928,0.06396484375
gemini-2-5-pro,few_shots_AND_grammar,only_prompt,12,0.0561523915684,0.0437209966445,0.0513157894737,0,0.2333984375
gemini-2-5-pro,few_shots_AND_grammar_AND_helper,only_prompt,12,0.0561523915684,0.0546420212489,0.0513157894737,0.0166666666667,0.38037109375
gemini-2-5-pro,grammar,only_prompt,12,0.0561523915684,0.00833333333333,0.0513157894737,0,0.00048828125
gpt-5,few_shot,only_prompt,12,0.0395943998467,0.0651528227398,0.0378571428571,0.047149122807,0.5693359375
gpt-5,few_shots_AND_grammar,only_prompt,12,0.0395943998467,0.0342004703116,0.0378571428571,0,0.26611328125
gpt-5,few_shots_AND_grammar_AND_helper,only_prompt,12,0.0395943998467,0.0144927536232,0.0378571428571,0,0.0341796875
gpt-5,grammar,only_prompt,12,0.0395943998467,0.0768631651599,0.0378571428571,0.0501253132832,0.1513671875
